iter	RMSE
0	4763.082233
1	4565.921382
2	4394.615717
3	4243.514028
4	4107.43928
5	3985.937771
6	3883.209374
7	3787.450134
8	3703.64567
9	3629.062912
10	3561.374749
11	3500.405748
12	3446.26497
13	3400.334068
14	3358.564653
15	3322.150937
16	3288.385473
17	3257.348857
18	3231.502009
19	3208.596895
20	3187.969461
21	3165.231024
22	3147.048425
23	3132.45863
24	3116.359387
25	3103.465533
26	3089.102258
27	3076.583001
28	3063.604049
29	3053.673942
30	3038.617517
31	3024.887311
32	3014.407555
33	3004.868414
34	2995.892364
35	2985.537812
36	2977.879591
37	2970.49471
38	2964.243599
39	2957.31325
40	2951.634989
41	2946.330784
42	2938.088109
43	2932.203308
44	2925.22933
45	2921.403348
46	2915.181275
47	2909.193788
48	2904.116915
49	2899.852907
50	2894.451541
51	2889.837899
52	2886.384652
53	2881.578954
54	2877.367499
55	2874.828872
56	2871.582803
57	2867.215412
58	2864.61596
59	2861.664978
60	2858.562697
61	2854.817209
62	2851.069097
63	2847.168067
64	2844.671577
65	2841.847558
66	2836.813477
67	2833.891475
68	2830.528374
69	2827.957782
70	2825.322437
71	2823.062524
72	2821.139329
73	2819.373418
74	2815.473007
75	2813.155868
76	2810.546208
77	2808.53203
78	2805.724504
79	2803.480462
80	2800.572409
81	2798.29845
82	2796.606479
83	2792.298922
84	2789.902389
85	2786.259931
86	2784.078268
87	2781.036683
88	2778.912868
89	2777.174894
90	2775.764692
91	2774.264525
92	2772.984893
93	2769.764045
94	2767.829419
95	2765.934268
96	2763.616726
97	2761.735519
98	2759.889737
99	2758.356116
100	2755.395434
101	2753.450269
102	2751.144399
103	2749.161054
104	2747.188447
105	2745.02824
106	2743.047972
107	2741.005134
108	2738.923847
109	2737.01113
110	2734.863386
111	2732.680534
112	2730.844718
113	2729.337055
114	2725.99593
115	2724.093786
116	2721.639354
117	2720.033535
118	2718.54127
119	2717.187828
120	2715.268764
121	2713.691864
122	2710.847986
123	2709.050522
124	2708.103459
125	2705.743219
126	2704.154664
127	2702.809414
128	2700.471522
129	2699.458009
130	2698.147529
131	2695.966737
132	2692.795832
133	2691.4571
134	2688.519222
135	2686.653142
136	2685.368573
137	2683.937024
138	2682.813864
139	2681.376705
140	2679.176181
141	2678.037097
142	2676.654008
143	2674.580866
144	2673.507121
145	2672.546189
146	2671.592467
147	2670.613878
148	2668.574282
149	2667.124518
150	2665.881265
151	2664.991239
152	2663.462478
153	2662.498826
154	2661.13146
155	2660.161508
156	2659.047497
157	2658.14494
158	2656.127036
159	2654.559556
160	2652.739301
161	2651.934214
162	2650.733645
163	2649.556833
164	2647.976362
165	2646.028536
166	2643.852484
167	2642.61135
168	2641.074528
169	2640.184005
170	2638.730279
171	2636.808302
172	2635.719513
173	2634.560622
174	2633.387022
175	2632.457058
176	2630.336476
177	2629.476084
178	2628.17503
179	2626.838189
180	2625.571363
181	2624.627571
182	2623.486927
183	2621.782775
184	2620.822224
185	2619.889478
186	2618.585639
187	2617.617096
188	2616.316358
189	2615.303188
190	2614.177493
191	2613.409123
192	2611.870841
193	2610.640548
194	2609.464263
195	2608.324405
196	2607.013791
197	2606.275329
198	2605.698836
199	2604.580188
200	2603.392943
201	2602.377487
202	2601.656615
203	2599.986153
204	2599.023836
205	2596.97302
206	2595.965437
207	2594.818937
208	2593.61512
209	2592.663446
210	2591.098036
211	2589.558534
212	2588.715945
213	2587.21043
214	2586.189119
215	2584.834222
216	2583.800909
217	2583.076046
218	2581.684795
219	2580.976979
220	2579.610353
221	2578.588161
222	2576.982853
223	2575.791611
224	2574.556643
225	2573.848886
226	2573.288948
227	2572.422228
228	2571.485658
229	2570.779172
230	2569.787933
231	2568.86371
232	2568.015295
233	2566.824942
234	2566.28317
235	2565.112722
236	2564.297261
237	2563.209404
238	2562.206633
239	2561.404038
240	2560.267062
241	2559.812804
242	2558.544377
243	2557.653024
244	2556.993126
245	2555.764951
246	2555.025291
247	2554.129785
248	2553.469356
249	2552.72132
250	2551.760812
251	2551.009881
252	2550.360083
253	2549.705882
254	2548.747751
255	2548.414414
256	2547.428289
257	2547.041668
258	2546.421635
259	2545.486817
260	2544.961552
261	2544.654002
262	2544.024056
263	2543.087051
264	2541.948008
265	2541.144948
266	2540.499979
267	2539.6945
268	2539.0906
269	2538.44865
270	2537.473613
271	2536.489207
272	2535.825826
273	2535.345564
274	2534.784116
275	2534.051645
276	2532.895295
277	2532.496132
278	2532.016735
279	2531.240533
280	2530.590773
281	2530.225351
282	2529.750782
283	2528.932449
284	2528.021571
285	2527.362844
286	2526.748079
287	2526.484575
288	2525.805801
289	2525.331712
290	2524.643464
291	2524.000868
292	2522.951874
293	2522.596296
294	2521.965069
295	2521.40828
296	2520.905297
297	2520.112184
298	2519.499879
299	2518.458059
300	2517.973501
301	2517.164764
302	2516.759993
303	2515.96989
304	2515.453412
305	2515.103453
306	2514.097278
307	2513.57225
308	2512.841396
309	2511.999218
310	2511.578833
311	2511.4084
312	2510.760016
313	2510.035838
314	2509.44138
315	2509.056302
316	2508.25773
317	2507.300827
318	2506.742508
319	2506.29344
320	2505.8586
321	2505.208895
322	2504.537285
323	2504.370471
324	2504.074549
325	2503.714234
326	2503.356762
327	2502.755978
328	2502.384012
329	2502.089366
330	2501.316959
331	2500.945126
332	2500.564535
333	2500.459369
334	2499.860141
335	2499.61753
336	2499.231332
337	2498.716083
338	2498.277069
339	2497.883257
340	2497.174604
341	2496.329792
342	2495.812006
343	2495.426459
344	2494.922497
345	2494.365151
346	2493.866211
347	2493.471315
348	2492.995062
349	2492.133454
350	2491.906797
351	2491.170948
352	2490.672702
353	2490.478281
354	2489.832256
355	2489.400081
356	2488.920602
357	2488.590728
358	2487.968146
359	2487.254158
360	2486.679561
361	2486.191509
362	2485.851349
363	2485.170094
364	2484.401359
365	2483.689928
366	2483.265114
367	2482.790626
368	2482.690213
369	2482.032399
370	2481.606702
371	2480.9533
372	2480.654595
373	2480.489783
