iter	Passed	Remaining
0	140	279905
1	205	204946
2	237	157875
3	279	139438
4	336	134266
5	372	123866
6	409	116523
7	456	113592
8	517	114426
9	554	110260
10	591	107034
11	632	104793
12	682	104349
13	734	104145
14	783	103704
15	813	100830
16	868	101317
17	920	101375
18	960	100151
19	1015	100542
20	1057	99616
21	1100	98905
22	1149	98822
23	1192	98207
24	1242	98141
25	1285	97622
26	1360	99427
27	1452	102275
28	1512	102828
29	1574	103399
30	1634	103810
31	1684	103576
32	1729	103074
33	1773	102545
34	1836	103117
35	1886	102925
36	1941	103015
37	2008	103726
38	2072	104195
39	2125	104132
40	2170	103686
41	2212	103157
42	2273	103473
43	2337	103911
44	2385	103627
45	2445	103889
46	2497	103797
47	2552	103802
48	2618	104267
49	2683	104651
50	2755	105298
51	2824	105815
52	2882	105878
53	2948	106264
54	3007	106340
55	3065	106404
56	3118	106286
57	3173	106264
58	3236	106481
59	3302	106787
60	3370	107141
61	3436	107427
62	3488	107270
63	3550	107394
64	3615	107618
65	3670	107561
66	3745	108062
67	3798	107931
68	3854	107870
69	3902	107607
70	3973	107945
71	4042	108240
72	4098	108199
73	4160	108278
74	4217	108241
75	4279	108350
76	4340	108389
77	4396	108334
78	4469	108672
79	4533	108799
80	4598	108954
81	4668	109207
82	4733	109335
83	4790	109280
84	4860	109501
85	4931	109746
86	4999	109941
87	5058	109914
88	5128	110108
89	5194	110234
90	5256	110273
91	5319	110312
92	5389	110504
93	5439	110296
94	5533	110958
95	5604	111150
96	5690	111644
97	5764	111882
98	5847	112286
99	5910	112291
100	5973	112322
101	6040	112407
102	6096	112280
103	6157	112260
104	6223	112321
105	6279	112199
106	6320	111822
107	6389	111929
108	6453	111963
109	6495	111597
110	6583	112045
111	6655	112184
112	6711	112081
113	6787	112284
114	6854	112350
115	6907	112190
116	6969	112162
117	7035	112209
118	7108	112367
119	7169	112319
120	7222	112158
121	7288	112194
122	7353	112215
123	7409	112092
124	7466	112003
125	7527	111953
126	7575	111730
127	7638	111707
128	7691	111562
129	7759	111623
130	7837	111813
131	7902	111837
132	7956	111690
133	8013	111586
134	8068	111463
135	8123	111337
136	8178	111218
137	8250	111326
138	8309	111247
139	8369	111194
140	8436	111235
141	8501	111242
142	8564	111218
143	8635	111304
144	8696	111258
145	8757	111214
146	8831	111320
147	8904	111429
148	8962	111345
149	9023	111292
150	9084	111243
151	9138	111107
152	9198	111037
153	9255	110950
154	9311	110838
155	9373	110794
156	9438	110800
157	9516	110948
158	9573	110850
159	9640	110860
160	9714	110963
161	9772	110876
162	9837	110868
163	9908	110923
164	9970	110878
165	10038	110906
166	10104	110911
167	10164	110836
168	10204	110555
169	10266	110511
170	10324	110434
171	10384	110364
172	10445	110311
173	10520	110407
174	10590	110442
175	10653	110403
176	10715	110365
177	10781	110359
178	10847	110356
179	10919	110408
180	10990	110453
181	11050	110388
182	11105	110264
183	11155	110102
184	11209	109974
185	11276	109973
186	11330	109851
187	11386	109749
188	11460	109817
189	11517	109720
190	11571	109595
191	11625	109474
192	11693	109480
193	11751	109400
194	11808	109302
195	11867	109227
196	11923	109123
197	11991	109138
198	12044	109004
199	12100	108903
200	12165	108886
201	12224	108808
202	12286	108766
203	12347	108704
204	12387	108465
205	12449	108416
206	12502	108297
207	12567	108273
208	12626	108199
209	12691	108177
210	12744	108060
211	12803	107984
212	12857	107869
213	12919	107824
214	12976	107736
215	13030	107621
216	13089	107547
217	13149	107487
218	13211	107439
219	13280	107450
220	13336	107359
221	13395	107282
222	13460	107259
223	13522	107216
224	13627	107502
225	13694	107494
226	13759	107468
227	13831	107497
228	13891	107428
229	13957	107410
230	14014	107323
231	14078	107287
232	14151	107317
